,line,datetime,dim,m_dist,anom_size,bus1,bus2,bus3,bus4,bus5,bus6,bus7,bus8,bus9,hw12,hw23,hw34,hw45,hw56,hw67,hw78,hw89,anom
326,133,2020-05-06 14:56:02.113051,2,1.28227,0,4683,4698,4684,0,0,0,0,0,0,903,846,0,0,0,0,0,0,0.0
328,132,2020-05-06 14:56:00.093379,3,0.9548,0,4829,4834,4830,4848,0,0,0,0,0,298,386,472,0,0,0,0,0,0.0
329,1,2020-05-06 14:56:49.882023,1,0.06841,0,120,118,0,0,0,0,0,0,0,918,0,0,0,0,0,0,0,0.0
330,1,2020-05-06 14:56:49.882023,1,0.96335,0,5529,119,0,0,0,0,0,0,0,629,0,0,0,0,0,0,0,0.0
331,1,2020-05-06 14:56:49.882023,1,0.8637,0,118,116,0,0,0,0,0,0,0,1219,0,0,0,0,0,0,0,0.0
332,1,2020-05-06 14:56:49.882023,1,0.64074,0,119,123,0,0,0,0,0,0,0,1147,0,0,0,0,0,0,0,0.0
333,44,2020-05-06 14:56:51.167883,1,0.40367,0,4734,4855,0,0,0,0,0,0,0,744,0,0,0,0,0,0,0,0.0
334,82,2020-05-06 14:56:51.707360,1,0.69654,0,4712,4705,0,0,0,0,0,0,0,1052,0,0,0,0,0,0,0,0.0
335,82,2020-05-06 14:56:51.707360,1,1.42763,0,4708,4715,0,0,0,0,0,0,0,1281,0,0,0,0,0,0,0,0.0
336,82,2020-05-06 14:56:51.707360,1,0.85502,0,4705,4710,0,0,0,0,0,0,0,566,0,0,0,0,0,0,0,0.0
337,132,2020-05-06 14:56:49.636281,1,0.63958,0,4829,4834,0,0,0,0,0,0,0,311,0,0,0,0,0,0,0,0.0
338,132,2020-05-06 14:56:49.636281,1,0.28047,0,4834,4830,0,0,0,0,0,0,0,392,0,0,0,0,0,0,0,0.0
339,132,2020-05-06 14:56:49.636281,1,0.04994,0,4830,4848,0,0,0,0,0,0,0,444,0,0,0,0,0,0,0,0.0
340,133,2020-05-06 14:56:50.633875,1,0.53556,0,4683,4698,0,0,0,0,0,0,0,887,0,0,0,0,0,0,0,0.0
341,133,2020-05-06 14:56:50.633875,1,3.4266,10,4697,4699,0,0,0,0,0,0,0,1702,0,0,0,0,0,0,0,1.0
342,133,2020-05-06 14:56:50.633875,1,0.4114,0,4698,4684,0,0,0,0,0,0,0,852,0,0,0,0,0,0,0,0.0
343,1,2020-05-06 14:56:49.882023,2,0.94946,0,120,118,116,0,0,0,0,0,0,918,1219,0,0,0,0,0,0,0.0
344,1,2020-05-06 14:56:49.882023,2,0.69741,0,5529,119,123,0,0,0,0,0,0,629,1147,0,0,0,0,0,0,0.0
345,82,2020-05-06 14:56:51.707360,2,1.56254,0,4712,4705,4710,0,0,0,0,0,0,1052,566,0,0,0,0,0,0,0.0
346,132,2020-05-06 14:56:49.636281,2,0.89042,0,4829,4834,4830,0,0,0,0,0,0,311,392,0,0,0,0,0,0,0.0
347,132,2020-05-06 14:56:49.636281,2,0.35703,0,4834,4830,4848,0,0,0,0,0,0,392,444,0,0,0,0,0,0,0.0
348,133,2020-05-06 14:56:50.633875,2,1.24499,0,4683,4698,4684,0,0,0,0,0,0,887,852,0,0,0,0,0,0,0.0
349,132,2020-05-06 14:56:49.636281,3,0.92961,0,4829,4834,4830,4848,0,0,0,0,0,311,392,444,0,0,0,0,0,0.0
350,1,2020-05-06 14:57:40.595034,1,0.23872,0,120,118,0,0,0,0,0,0,0,863,0,0,0,0,0,0,0,0.0
351,1,2020-05-06 14:57:40.595034,1,0.08953,0,5529,119,0,0,0,0,0,0,0,969,0,0,0,0,0,0,0,0.0
352,1,2020-05-06 14:57:40.595034,1,0.92873,0,118,116,0,0,0,0,0,0,0,1240,0,0,0,0,0,0,0,0.0
353,1,2020-05-06 14:57:40.595034,1,0.52306,0,119,123,0,0,0,0,0,0,0,1109,0,0,0,0,0,0,0,0.0
354,44,2020-05-06 14:57:39.288092,1,0.01688,0,4734,4855,0,0,0,0,0,0,0,844,0,0,0,0,0,0,0,0.0
355,82,2020-05-06 14:57:42.224911,1,0.83063,0,4712,4705,0,0,0,0,0,0,0,1094,0,0,0,0,0,0,0,0.0
356,82,2020-05-06 14:57:42.224911,1,1.36058,0,4708,4715,0,0,0,0,0,0,0,1260,0,0,0,0,0,0,0,0.0
357,82,2020-05-06 14:57:42.224911,1,0.86779,0,4705,4710,0,0,0,0,0,0,0,562,0,0,0,0,0,0,0,0.0
358,82,2020-05-06 14:57:42.224911,1,1.06253,0,4715,4717,0,0,0,0,0,0,0,501,0,0,0,0,0,0,0,0.0
359,132,2020-05-06 14:57:40.586841,1,0.54648,0,4829,4834,0,0,0,0,0,0,0,332,0,0,0,0,0,0,0,0.0
360,132,2020-05-06 14:57:40.586841,1,0.28934,0,4834,4830,0,0,0,0,0,0,0,390,0,0,0,0,0,0,0,0.0
361,132,2020-05-06 14:57:40.586841,1,0.0077,0,4830,4848,0,0,0,0,0,0,0,457,0,0,0,0,0,0,0,0.0
362,133,2020-05-06 14:57:39.934520,1,0.54975,0,4683,4698,0,0,0,0,0,0,0,891,0,0,0,0,0,0,0,0.0
363,133,2020-05-06 14:57:39.934520,1,3.46562,11,4697,4699,0,0,0,0,0,0,0,1713,0,0,0,0,0,0,0,1.0
364,133,2020-05-06 14:57:39.934520,1,0.47525,0,4698,4684,0,0,0,0,0,0,0,870,0,0,0,0,0,0,0,0.0
365,1,2020-05-06 14:57:40.595034,2,0.93332,0,120,118,116,0,0,0,0,0,0,863,1240,0,0,0,0,0,0,0.0
366,1,2020-05-06 14:57:40.595034,2,0.70639,0,5529,119,123,0,0,0,0,0,0,969,1109,0,0,0,0,0,0,0.0
367,82,2020-05-06 14:57:42.224911,2,1.70672,0,4712,4705,4710,0,0,0,0,0,0,1094,562,0,0,0,0,0,0,0.0
368,82,2020-05-06 14:57:42.224911,2,2.29272,0,4708,4715,4717,0,0,0,0,0,0,1260,501,0,0,0,0,0,0,0.0
369,132,2020-05-06 14:57:40.586841,2,0.80873,0,4829,4834,4830,0,0,0,0,0,0,332,390,0,0,0,0,0,0,0.0
370,132,2020-05-06 14:57:40.586841,2,0.32827,0,4834,4830,4848,0,0,0,0,0,0,390,457,0,0,0,0,0,0,0.0
371,133,2020-05-06 14:57:39.934520,2,1.30825,0,4683,4698,4684,0,0,0,0,0,0,891,870,0,0,0,0,0,0,0.0
372,132,2020-05-06 14:57:40.586841,3,0.8253,0,4829,4834,4830,4848,0,0,0,0,0,332,390,457,0,0,0,0,0,0.0
373,1,2020-05-06 14:58:30.336594,1,0.15202,0,120,118,0,0,0,0,0,0,0,891,0,0,0,0,0,0,0,0.0
374,1,2020-05-06 14:58:30.336594,1,0.03434,0,5529,119,0,0,0,0,0,0,0,929,0,0,0,0,0,0,0,0.0
375,1,2020-05-06 14:58:30.336594,1,0.77389,0,118,116,0,0,0,0,0,0,0,1190,0,0,0,0,0,0,0,0.0
376,1,2020-05-06 14:58:30.336594,1,0.56022,0,119,123,0,0,0,0,0,0,0,1121,0,0,0,0,0,0,0,0.0
377,44,2020-05-06 14:58:31.991910,1,0.91686,0,4734,4855,0,0,0,0,0,0,0,1058,0,0,0,0,0,0,0,0.0
